size_bytes,last_modified,service_date,file_url
794975,2024-05-01 04:14:07+00:00,2019-11-24,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-11-24-subway-on-time-performance-v1.parquet
1478478,2024-05-01 04:46:01+00:00,2019-11-25,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-11-25-subway-on-time-performance-v1.parquet
1499729,2024-05-01 04:15:29+00:00,2019-11-26,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-11-26-subway-on-time-performance-v1.parquet
1499824,2024-05-01 03:30:54+00:00,2019-11-27,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-11-27-subway-on-time-performance-v1.parquet
965687,2024-05-01 02:12:35+00:00,2019-11-28,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-11-28-subway-on-time-performance-v1.parquet
1464178,2024-05-01 02:40:19+00:00,2019-11-29,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-11-29-subway-on-time-performance-v1.parquet
1118672,2024-05-01 03:19:30+00:00,2019-11-30,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-11-30-subway-on-time-performance-v1.parquet
974822,2024-05-01 02:14:52+00:00,2019-12-01,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-12-01-subway-on-time-performance-v1.parquet
1431190,2024-05-01 04:33:31+00:00,2019-12-02,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-12-02-subway-on-time-performance-v1.parquet
1381385,2024-05-01 03:29:35+00:00,2019-12-03,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-12-03-subway-on-time-performance-v1.parquet
1143580,2024-05-01 03:16:58+00:00,2019-12-04,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-12-04-subway-on-time-performance-v1.parquet
1426628,2024-05-01 02:59:46+00:00,2019-12-05,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-12-05-subway-on-time-performance-v1.parquet
1387695,2024-05-01 02:56:11+00:00,2019-12-06,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-12-06-subway-on-time-performance-v1.parquet
971084,2024-05-01 04:02:29+00:00,2019-12-07,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-12-07-subway-on-time-performance-v1.parquet
845156,2024-05-01 02:20:29+00:00,2019-12-08,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-12-08-subway-on-time-performance-v1.parquet
1436427,2024-05-01 03:08:10+00:00,2019-12-09,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-12-09-subway-on-time-performance-v1.parquet
1425190,2024-05-01 04:18:50+00:00,2019-12-10,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-12-10-subway-on-time-performance-v1.parquet
1414713,2024-05-01 04:01:25+00:00,2019-12-11,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-12-11-subway-on-time-performance-v1.parquet
1395894,2024-05-01 02:32:04+00:00,2019-12-12,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-12-12-subway-on-time-performance-v1.parquet
1399465,2024-05-01 04:45:49+00:00,2019-12-13,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-12-13-subway-on-time-performance-v1.parquet
964269,2024-05-01 03:46:00+00:00,2019-12-14,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-12-14-subway-on-time-performance-v1.parquet
834623,2024-05-01 04:40:28+00:00,2019-12-15,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-12-15-subway-on-time-performance-v1.parquet
1476510,2024-05-01 04:22:20+00:00,2019-12-16,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-12-16-subway-on-time-performance-v1.parquet
1461918,2024-05-01 02:30:26+00:00,2019-12-17,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-12-17-subway-on-time-performance-v1.parquet
1442973,2024-05-01 04:21:32+00:00,2019-12-18,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-12-18-subway-on-time-performance-v1.parquet
1380409,2024-05-01 04:07:27+00:00,2019-12-19,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-12-19-subway-on-time-performance-v1.parquet
1403240,2024-05-01 03:59:47+00:00,2019-12-20,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-12-20-subway-on-time-performance-v1.parquet
1018072,2024-05-01 03:40:41+00:00,2019-12-21,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-12-21-subway-on-time-performance-v1.parquet
942030,2024-05-01 03:09:44+00:00,2019-12-22,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-12-22-subway-on-time-performance-v1.parquet
1392630,2024-05-01 03:31:57+00:00,2019-12-23,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-12-23-subway-on-time-performance-v1.parquet
1480959,2024-05-01 04:45:11+00:00,2019-12-24,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-12-24-subway-on-time-performance-v1.parquet
967879,2024-05-01 03:55:02+00:00,2019-12-25,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-12-25-subway-on-time-performance-v1.parquet
1486642,2024-05-01 04:44:43+00:00,2019-12-26,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-12-26-subway-on-time-performance-v1.parquet
1476904,2024-05-01 03:56:27+00:00,2019-12-27,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-12-27-subway-on-time-performance-v1.parquet
1090849,2024-05-01 03:33:49+00:00,2019-12-28,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-12-28-subway-on-time-performance-v1.parquet
1003856,2024-05-01 02:31:30+00:00,2019-12-29,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-12-29-subway-on-time-performance-v1.parquet
1495319,2024-05-01 03:44:06+00:00,2019-12-30,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-12-30-subway-on-time-performance-v1.parquet
1513650,2024-05-01 03:12:03+00:00,2019-12-31,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-12-31-subway-on-time-performance-v1.parquet
967291,2024-05-01 04:02:52+00:00,2020-01-01,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-01-01-subway-on-time-performance-v1.parquet
1456267,2024-05-01 04:43:22+00:00,2020-01-02,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-01-02-subway-on-time-performance-v1.parquet
1485502,2024-05-01 02:17:10+00:00,2020-01-03,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-01-03-subway-on-time-performance-v1.parquet
